file_name,label,number_label
D:\data\archive\animals_224\cane\cane0.jpg,cane,0
D:\data\archive\animals_224\cane\cane1.jpg,cane,0
D:\data\archive\animals_224\cane\cane10.jpg,cane,0
D:\data\archive\animals_224\cane\cane100.jpg,cane,0
D:\data\archive\animals_224\cane\cane1000.jpg,cane,0
D:\data\archive\animals_224\cane\cane1001.jpg,cane,0
D:\data\archive\animals_224\cane\cane1002.jpg,cane,0
D:\data\archive\animals_224\cane\cane1003.jpg,cane,0
D:\data\archive\animals_224\cane\cane1004.jpg,cane,0
D:\data\archive\animals_224\cane\cane1005.jpg,cane,0
D:\data\archive\animals_224\cane\cane1006.jpg,cane,0
D:\data\archive\animals_224\cane\cane1007.jpg,cane,0
D:\data\archive\animals_224\cane\cane1008.jpg,cane,0
D:\data\archive\animals_224\cane\cane1009.jpg,cane,0
D:\data\archive\animals_224\cane\cane101.jpg,cane,0
D:\data\archive\animals_224\cane\cane1010.jpg,cane,0
D:\data\archive\animals_224\cane\cane1011.jpg,cane,0
D:\data\archive\animals_224\cane\cane1012.jpg,cane,0
D:\data\archive\animals_224\cane\cane1013.jpg,cane,0
D:\data\archive\animals_224\cane\cane1014.jpg,cane,0
D:\data\archive\animals_224\cane\cane1015.jpg,cane,0
D:\data\archive\animals_224\cane\cane1016.jpg,cane,0
D:\data\archive\animals_224\cane\cane1017.jpg,cane,0
D:\data\archive\animals_224\cane\cane1018.jpg,cane,0
D:\data\archive\animals_224\cane\cane1019.jpg,cane,0
D:\data\archive\animals_224\cane\cane102.jpg,cane,0
D:\data\archive\animals_224\cane\cane1020.jpg,cane,0
D:\data\archive\animals_224\cane\cane1021.jpg,cane,0
D:\data\archive\animals_224\cane\cane1022.jpg,cane,0
D:\data\archive\animals_224\cane\cane1023.jpg,cane,0
D:\data\archive\animals_224\cane\cane1024.jpg,cane,0
D:\data\archive\animals_224\cane\cane1025.jpg,cane,0
D:\data\archive\animals_224\cane\cane1026.jpg,cane,0
D:\data\archive\animals_224\cane\cane1027.jpg,cane,0
D:\data\archive\animals_224\cane\cane1028.jpg,cane,0
D:\data\archive\animals_224\cane\cane1029.jpg,cane,0
D:\data\archive\animals_224\cane\cane103.jpg,cane,0
D:\data\archive\animals_224\cane\cane1030.jpg,cane,0
D:\data\archive\animals_224\cane\cane1031.jpg,cane,0
D:\data\archive\animals_224\cane\cane1032.jpg,cane,0
D:\data\archive\animals_224\cane\cane1033.jpg,cane,0
D:\data\archive\animals_224\cane\cane1034.jpg,cane,0
D:\data\archive\animals_224\cane\cane1035.jpg,cane,0
D:\data\archive\animals_224\cane\cane1036.jpg,cane,0
D:\data\archive\animals_224\cane\cane1037.jpg,cane,0
D:\data\archive\animals_224\cane\cane1038.jpg,cane,0
D:\data\archive\animals_224\cane\cane1039.jpg,cane,0
D:\data\archive\animals_224\cane\cane104.jpg,cane,0
D:\data\archive\animals_224\cane\cane1040.jpg,cane,0
D:\data\archive\animals_224\cane\cane1041.jpg,cane,0
D:\data\archive\animals_224\cane\cane1042.jpg,cane,0
D:\data\archive\animals_224\cane\cane1043.jpg,cane,0
D:\data\archive\animals_224\cane\cane1044.jpg,cane,0
D:\data\archive\animals_224\cane\cane1045.jpg,cane,0
D:\data\archive\animals_224\cane\cane1046.jpg,cane,0
D:\data\archive\animals_224\cane\cane1047.jpg,cane,0
D:\data\archive\animals_224\cane\cane1048.jpg,cane,0
D:\data\archive\animals_224\cane\cane1049.jpg,cane,0
D:\data\archive\animals_224\cane\cane105.jpg,cane,0
D:\data\archive\animals_224\cane\cane1050.jpg,cane,0
D:\data\archive\animals_224\cane\cane1051.jpg,cane,0
D:\data\archive\animals_224\cane\cane1052.jpg,cane,0
D:\data\archive\animals_224\cane\cane1053.jpg,cane,0
D:\data\archive\animals_224\cane\cane1054.jpg,cane,0
D:\data\archive\animals_224\cane\cane1055.jpg,cane,0
D:\data\archive\animals_224\cane\cane1056.jpg,cane,0
